,title,phone,website,location/lat,location/lng,type
67,Presbyterian Urgent Care in Albuquerque on Atrisco Dr,(505) 462-7575,https://www.phs.org/doctors-services/services-centers/urgent-care/urgent-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_atrisco_uc__179,35.1272352,-106.7068761,Medical Facilities
68,Unm Children's Hospital: Allen Laura MD,(505) 272-2111,http://hospitals.unm.edu/,35.0889216,-106.6193856,Medical Facilities
69,Turquoise Lodge Hospital,(505) 841-8978,http://nmhealth.org/about/ofm/ltcf/tlh/,35.057986,-106.5813804,Medical Facilities
70,Presbyterian Heart and Vascular Care in Albuquerque,(505) 563-2500,https://www.phs.org/doctors-services/services-centers/heart-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_pa_handv,35.0816144,-106.6354914,Medical Facilities
71,Presbyterian Colon and Rectal Surgery in Albuquerque at Kaseman Hospital,(505) 253-6100,https://www.phs.org/doctors-services/services-centers/surgery/colon-and-rectal-surgery/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_colon__210,35.0939467,-106.5539893,Medical Facilities
72,UNM Hospital Gift Shops,(505) 272-2595,https://unmhealth.org/patients-visitors/gift-shops.html,35.0881658,-106.6173752,Medical Facilities
73,UNM Children's Psychiatric Center,(505) 272-2890,https://unmhealth.org/locations/childrens-psychiatric-center.html,35.0927007,-106.6213912,Medical Facilities
74,Hospital Services Corporation,(505) 343-0070,https://www.nmhsc.com/,35.1637905,-106.5869655,Medical Facilities
75,Presbyterian Hospital: Warren Thomas L DO,(505) 841-1234,,35.0817941,-106.6349329,Medical Facilities
76,Lovelace Medical Center-Downtown- Emergency Room,(505) 727-8000,http://www.lovelace.com/,35.0864223,-106.6393832,Medical Facilities
77,Central Desert,(505) 243-3387,http://www.centraldesertbh.com/,35.1380795,-106.6076378,Medical Facilities
78,Adult Urgent Care,(505) 272-9646,http://hsc.unm.edu/health/patient-care/urgent-care/locations.html,35.0883251,-106.6179494,Medical Facilities
79,Lovelace Women's Hospital Outpatient Rehabilitation,(505) 727-4725,http://www.lovelace.com/locations,35.1304803,-106.5915097,Medical Facilities
80,Optum Hospitalists,(505) 262-3542,http://www.davitamedgroupnm.com/,35.08709,-106.639766,Medical Facilities
81,Heart Hospital of New Mexico: Emergency Room,(505) 727-1100,https://hearthospitalnm.com/,35.087497,-106.6370136,Medical Facilities
82,Women's Hospital Pavilion,(505) 254-6500,http://www.abqhp.com/,35.1321104,-106.5909111,Medical Facilities
83,UNM Adult Psychiatric Center,(505) 272-2800,https://unmhealth.org/locations/psychiatric-center.html,35.0906714,-106.6161467,Medical Facilities
84,Hospital Physician Partners,(505) 727-1002,,35.0848894,-106.6468148,Medical Facilities
85,New Mexico othorpedec,,,35.0843859,-106.650422,Medical Facilities
86,Fresenius Medical Care @ Healthsouth Rehab Hospital,(505) 727-8000,http://www.ultracare-dialysis.com/,35.1603532,-106.5923546,Medical Facilities
87,Raymond G. Murphy VA Medical Center,(505) 265-1711,http://www.albuquerque.va.gov/locations/directions.asp,35.0549173,-106.581251,Medical Facilities
88,Albuquerque Indian Health Center,(505) 248-4000,https://www.ihs.gov/,35.0886033,-106.615802,Medical Facilities
89,Emergency Room at Kaseman Hospital,(505) 291-2000,https://www.phs.org/doctors-services/services-centers/Pages/emergency-care.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_er__035,35.0934057,-106.5541245,Medical Facilities
90,Fresenius Medical Care at Heart Hospital Of New Mexico,(505) 727-8000,http://www.ultracare-dialysis.com/,35.087803,-106.6369353,Medical Facilities
91,Lovelace Womens Hospital: Emergency Room,(505) 727-7800,http://www.lovelace.com/locations/hospitals/lovelace-womens-hospital,35.13185,-106.59094,Medical Facilities
92,Presbyterian Hospital-The Children's Center at Presbyterian,(505) 563-6530,https://www.phs.org/doctors-services/services-centers/childrens-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_aq_ph_child,35.081463,-106.635299,Medical Facilities
93,Old St. Joseph Hospital,,,35.0858108,-106.6386059,Medical Facilities
94,Presbyterian Inpatient Behavioral Health in Albuquerque at Kaseman Hospital,(505) 291-2560,https://www.phs.org/doctors-services/services-centers/behavioral-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_inpatbh__190,35.0934365,-106.5519144,Medical Facilities
95,Haven Behavioral Hospital of Albuquerque,(505) 254-4500,https://www.havenalbuquerque.com/?utm_campaign=gmb+business+listings&utm_medium=organic&utm_source=google&utm_content=standard+listing,35.0578206,-106.5831307,Medical Facilities
96,Amg Specialty Hospital,(505) 842-5550,,35.0849095,-106.6389818,Medical Facilities
97,Grace of God Hospital,(505) 585-6401,,35.08354,-106.6101326,Medical Facilities
98,Lovelace Westside Hospital: Emergency Room,(505) 727-2000,http://www.lovelace.com/locations/hospitals/lovelace-westside-hospital,35.2073157,-106.6775272,Medical Facilities
99,Heights General Medical Center,,,35.133003,-106.5921376,Medical Facilities
100,Encompass Health Rehabilitation Hospital of Albuquerque,(505) 344-9478,https://encompasshealth.com/albuquerquerehab,35.1600679,-106.5923607,Medical Facilities
101,Fresenius Medical Care at Kindred Hospital Of Albuquerque,(505) 727-8000,http://www.ultracare-dialysis.com/,35.088862,-106.637366,Medical Facilities
102,UNM Carrie Tingley Hospital,(505) 272-5200,https://hsc.unm.edu/health/locations/carrie-tingley-hospital.html,35.093544,-106.6269763,Medical Facilities
103,University of New Mexico Hospital OTC,(505) 272-2472,http://hsc.unm.edu/health/,35.0881912,-106.6190589,Medical Facilities
104,Lovelace Women's Hospital,(505) 727-7800,https://lovelace.com/,35.1319202,-106.5906893,Medical Facilities
105,Albuquerque ER & Hospital,,,35.1302136,-106.5522883,Medical Facilities
106,Heart Hospital of NM @ Lovelace Medical Center,(505) 727-1100,https://hearthospitalnm.com/,35.0878841,-106.6369881,Medical Facilities
107,AMG Specialty Hospital - Albuquerque,(505) 842-5550,https://amgihm.com/albuquerque,35.057986,-106.5813804,Medical Facilities
108,Presbyterian Kaseman Hospital,(505) 291-2000,https://kaseman-hospital.phs.org/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_hospital__l001,35.0930393,-106.5532351,Medical Facilities
109,Kindred Hospital Albuquerque,(505) 242-4444,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-albuquerque,35.0886778,-106.6376696,Medical Facilities
110,Albuquerque ER & Hospital,(505) 431-1900,https://abqhospital.com/?utm_source=google&utm_medium=search&utm_campaign=business,35.1831834,-106.6649613,Medical Facilities
111,Lovelace Medical Center,(505) 727-8000,https://lovelace.com/,35.0861911,-106.6396227,Medical Facilities
112,Lovelace Westside Hospital,(505) 727-2000,http://lovelace.com/westside,35.2075322,-106.6770011,Medical Facilities
113,UNM Hospital,(505) 272-2111,http://hsc.unm.edu/health,35.0882062,-106.6189678,Medical Facilities
114,Presbyterian Hospital,(505) 841-1234,https://presbyterian-hospital.phs.org/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_hospital__l002,35.081573,-106.635382,Medical Facilities
115,Lovelace Health Center,(505) 727-4725,https://lovelace.com/,35.2076116,-106.6786125,Medical Facilities
116,Sandia Medical Park,,,35.089937,-106.6294659,Medical Facilities
117,Albuquerque ambulatory clinic,,,35.14537,-106.594654,Medical Facilities
118,Health Sciences,,,35.0927203,-106.6214308,Medical Facilities
119,Carrie Tingley Hospital Foundation,(505) 243-6626,http://www.carrietingleyhospitalfoundation.org/,35.0895427,-106.6368258,Medical Facilities
120,Gibson Medical Center,(505) 262-7000,,35.0577888,-106.58358,Medical Facilities
121,Hospital / Dental,,,35.0540481,-106.5814684,Medical Facilities
122,Presbyterian Medical Group on Kaseman Hospital,(505) 559-6100,,35.091771,-106.5527989,Medical Facilities
123,Lovelace Health System,(505) 727-8080,,35.1341173,-106.5916761,Medical Facilities
124,RESEP CLinic,,,35.0905281,-106.6188135,Medical Facilities
125,Presbyterian Hospital: Thomas Tammy M DO,(505) 841-1234,,35.081573,-106.635382,Medical Facilities
126,Lovelace Health System,(505) 727-4500,http://lovelace.com/,35.1313256,-106.5914467,Medical Facilities
127,Fresenius Medical Care at Lovelace Medical Center,(505) 727-8000,http://www.ultracare-dialysis.com/,35.0843922,-106.6383465,Medical Facilities
128,Presbyterian Medical Group,(505) 823-8888,https://www.phs.org/doctors-services/services-centers/urgent-care/urgent-care/Pages/harper.aspx,35.1539949,-106.5850177,Medical Facilities
129,UNMH Respiratory Care Center,(505) 272-2111,https://hsc.unm.edu/news/news/new-center-provides-covid-19-testing.html,35.0879816,-106.6172609,Medical Facilities
130,Saint Josephs Hospital Complex,,,35.086905,-106.6372355,Medical Facilities
131,Presbyterian Pediatric Surgery in Albuquerque at Presbyterian Hospital,(505) 563-6530,https://www.phs.org/doctors-services/services-centers/childrens-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_pedspecsurg__137,35.0816144,-106.6354914,Medical Facilities
132,Presbyterian Transplant Services in Albuquerque at Presbyterian Hospital,(505) 841-1431,https://www.phs.org/doctors-services/services-centers/transplant-services/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_phpob_transplant__224,35.0816144,-106.6354914,Medical Facilities
133,Presbyterian Anticoagulation Services in Albuquerque at Presbyterian Kaseman Hospital,(505) 291-2402,https://www.phs.org/doctors-services/services-centers/supporting-services/Pages/anticoagulation-services.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkpob_anticoag,35.0930567,-106.5519248,Medical Facilities
134,University Hospital,,,35.0739049,-106.562955,Medical Facilities
135,Rehabilitation Hospital of NM,(505) 727-4725,http://www.lovelace.com/,35.1318594,-106.5906556,Medical Facilities
136,Presbyterian Anticoagulation Services in Albuquerque at Presbyterian Hospital,(505) 563-2500,https://www.phs.org/doctors-services/services-centers/primary-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_phpob_anticoag,35.0816144,-106.6354914,Medical Facilities
137,OSIS,(505) 925-7680,https://unmhealth.org/services/osis.html,35.0957626,-106.6272303,Medical Facilities
138,BPO Hospital,(866) 538-6489,https://www.hospitalbpo.com/contact,35.1665485,-106.5920315,Medical Facilities
139,Health Sciences Center,(505) 925-2378,https://hsc.unm.edu/,35.0540018,-106.6194295,Medical Facilities
140,Albuquerque Phs Indian Hospital: Gloyd Jr Park W MD,(505) 248-4000,https://www.ihs.gov/albuquerque/healthcarefacilities/albuquerque/,35.0887048,-106.61588,Medical Facilities
141,"Abdul W. Mamdani, PA",(505) 925-4126,,35.0796849,-106.7246727,Medical Facilities
142,DaVita Medical center,,,35.1307592,-106.5489062,Medical Facilities
143,Murphy VA Hospital,(505) 265-1711,,35.0547972,-106.5817269,Medical Facilities
144,Women Hosiptal,,,35.133002,-106.5902252,Medical Facilities
145,BPO Hospital,(866) 538-6489,https://www.hospitalbpo.com/contact,35.1553891,-106.5953313,Medical Facilities
146,Kaseman Emergency Medicine,(505) 291-2000,https://www.phs.org/covid19/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=covidlisting&utm_content=_loc_abq_pkh_er_CLAIMED__035,35.0941831,-106.5537143,Medical Facilities
147,Lovelace Westside Hospital - Radiology Department,(505) 727-8966,https://lovelace.com/services/radiology,35.2085593,-106.6788535,Medical Facilities
148,"Shalada C. Creecy Gutierrez, LCSW",(505) 208-6227,https://www.oakstreethealth.com/doctors/shalada-creecy-gutierrez?utm_source=listings&utm_vpf=rep,35.0842643,-106.6856888,Medical Facilities
149,Southwest Mesa Clinic,(505) 925-4126,,35.0796403,-106.724703,Medical Facilities
150,Oak Street Health Atrisco Primary Care Clinic,(505) 208-6227,https://www.oakstreethealth.com/locations/albuquerque-nm/atrisco-doctors-office?utm_source=listings&utm_vpf=rep,35.0842643,-106.6856888,Medical Facilities
151,PRESNow,(505) 596-2110,https://www.presnow247.org/locations/,35.1738523,-106.5772384,Medical Facilities
152,Lovelace Health System,(505) 727-8000,http://www.lovelace.com/,35.2084949,-106.6787805,Medical Facilities
153,UNM Hospitals' Southeast Heights Clinic,(505) 272-5885,http://hospitals.unm.edu/,35.0736549,-106.5556664,Medical Facilities
154,Lovelace Labor of Love,(505) 727-7677,http://lovelace.com/laboroflove,35.1330851,-106.5921835,Medical Facilities
155,"Scott Bernhardt, LCSW",(505) 208-6984,https://www.oakstreethealth.com/doctors/scott-bernhardt?utm_source=listings&utm_vpf=rep,35.0731582,-106.5839817,Medical Facilities
156,"Elizabeth Moran, FNP",(505) 295-7030,https://www.oakstreethealth.com/doctors/elizabeth-a-moran-fnp?utm_source=listings&utm_vpf=rep,35.1391383,-106.6408277,Medical Facilities
157,UNM Hospital Family Health Clinic,(505) 272-2700,http://hospitals.unm.edu/family-health/locations/northeast-heights.html,35.1459571,-106.5570899,Medical Facilities
158,"Dr. Michael Chartrand, MD",(505) 295-7030,https://www.oakstreethealth.com/doctors/michael-chartrand?utm_source=listings&utm_vpf=rep,35.1391383,-106.6408277,Medical Facilities
159,Albuquerque Health Care for the Homeless,(505) 766-5197,https://www.abqhch.org/,35.0951761,-106.6462406,Medical Facilities
160,medical arts plaza,,,35.0895526,-106.6320331,Medical Facilities
161,Senior Health Clinic,(505) 272-1754,https://unmhealth.org/services/senior-health.html,35.0901429,-106.6292758,Medical Facilities
162,First Nations Community HealthSource (Zuni Clinic),(505) 262-2481,http://www.fnch.org/,35.0726345,-106.5834268,Medical Facilities
163,Anodyne of Albuquerque,(505) 503-6490,https://anodynepain.com/locations/albuquerque-nm/,35.0921239,-106.6634873,Medical Facilities
164,Bosque Women's Care,(505) 847-4100,http://www.bosquewomenscare.com/,35.1591145,-106.5942674,Medical Facilities
165,MinuteClinic at CVS,(866) 389-2727,https://www.cvs.com/minuteclinic/clinic-locator/nm/albuquerque/8915.html?WT.mc_id=LS_mc_google_carenav_8915,35.1081972,-106.5336553,Medical Facilities
166,Esperanza Medical and Wellness,(505) 677-8192,,35.0788859,-106.6361136,Medical Facilities
167,Ribera Healthcare Satelite Office,,,35.1562705,-106.6808456,Medical Facilities
168,Cromeans Jacqueline,(505) 938-5858,,35.0790991,-106.6365129,Medical Facilities
169,Envision New Mexico,(505) 925-7600,https://hsc.unm.edu/medicine/departments/pediatrics/divisions/adolescent-medicine/envision/,35.0830498,-106.655029,Medical Facilities
170,UNM School Based Health Center,(505) 256-2555,https://unmhealth.org/services/school-based-health-clinics/,35.0662377,-106.5665538,Medical Facilities
171,Royal Medical Health Inc,(505) 916-2457,https://royalmedicalhealth.com/,35.1767029,-106.5684432,Medical Facilities
172,Bouari Clinic,(505) 821-8446,,35.1590867,-106.5760855,Medical Facilities
173,Family Practice Clinic: Elliott Erica MD,(505) 272-1734,http://unmmg.org/,35.0904106,-106.6188522,Medical Facilities
174,New Mexico Urgent Care Eubank,(505) 433-2186,https://newmexicourgentcare.com/,35.1177622,-106.5336909,Medical Facilities
175,Passport Health Albuquerque,(505) 881-8785,https://www.passporthealthusa.com/locations/nm/albuquerque/163/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB%20Franchisee%20Insights,35.0938415,-106.5691528,Medical Facilities
176,Morgan Virtual Psychiatry,(888) 360-7587,https://morganvirtualpsychiatry.com/,35.108119,-106.730405,Medical Facilities
177,Renew Vitality Testosterone Clinic of Alburqueque,(505) 658-6855,https://www.vitalityhrt.com/location/testosterone-clinic-of-albuquerque-nm/,35.0828138,-106.6491252,Medical Facilities
178,Men's Healing Clinic,,https://albuquerque.edtreatmentpro.com/,35.1002562,-106.650338,Medical Facilities
179,Kia Boyd,(678) 249-9549,,35.108119,-106.730405,Medical Facilities
180,Ziks Health Services,(972) 972-4850,https://www.zikshealthservices.com/,35.0880954,-106.6528481,Medical Facilities
181,Fresenius Medical Care at Presbyterian Healthcare Services,(505) 727-8000,http://www.ultracare-dialysis.com/,35.081573,-106.635382,Medical Facilities
182,Manzano Medical Group,(505) 727-4919,http://www.manzanomedicalgroup.com/?utm_source=GMBSocialClimb&utm_medium=ManzanoMedicalGroup,35.0877893,-106.6382356,Medical Facilities
183,Well Life ABQ,(505) 585-2345,https://welllifeabq.com/?utm_source=search&utm_medium=GMB&utm_campaign=Organic,35.1363418,-106.5502426,Medical Facilities
184,Travel Health,(505) 217-0628,http://www.nmtravelhealth.com/,35.0887195,-106.6319647,Medical Facilities
185,Bouari Clinic,(505) 369-1896,,35.1280521,-106.6035384,Medical Facilities
186,Heights Medical Consultants,(505) 883-7525,,35.1294903,-106.5857543,Medical Facilities
187,"HCP Systems, Urgent and Primary Care",,https://weence.com/medical/doctors/albuquerque-new-mexico/hcp-systems-urgent-and-primary-care/,35.1158666,-106.6044334,Medical Facilities
188,Concentra Urgent Care,(505) 823-9166,http://www.concentra.com/?utm_source=Yext&utm_medium=Organic&utm_campaign=Homepage%20Link,35.1522406,-106.5849239,Medical Facilities
189,New Mexico Pain Center,(505) 264-9961,https://www.albuquerquepaincenter.com/,35.1234658,-106.7013045,Medical Facilities
190,Pediatric Medicane Inc,(505) 243-3509,,35.08458,-106.654174,Medical Facilities
191,P-Shot Clinic,,https://albuquerque.p-shot.online/,35.0851105,-106.6509265,Medical Facilities
