"title","location/lat","location/lng","phone","website"
"Highpointe Solutions","35.1310157","-106.5188716","(505) 291-8000",
"Elite Senior Care LLC","35.1277012","-106.5057147","(505) 379-2369","https://eliteseniorcarellc.com/"
"Quilted Care","35.1428294","-106.552372","(505) 797-8735","http://www.quiltedcare.com/"
"NestBeyond of Albuquerque - Academy","35.1523238","-106.5850177","(505) 421-6516","https://nestbeyond.com/locations/new-mexico/albuquerque/nestbeyond/"
"Stellar Senior Housing Experts","35.1514564","-106.6172571","(505) 504-8884","https://stellarseniorhousingexperts.com/"
"Life Arena Coaching","35.1283756","-106.5199412","(505) 459-3597",
"Casa Mis Abuelos, Llc","35.1363725","-106.4951",,
"Caregivers of Albuquerque","35.0962275","-106.6020999","(505) 221-6562",
"Presbyterian Healthcare at Home in Albuquerque","35.0927853","-106.5555665","(505) 588-5708","https://www.phs.org/doctors-services/services-centers/healthcare-at-home/Pages/constitution.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_constitution_healthathome"
"Holiday Bear Canyon Estates","35.132985","-106.5235636","(505) 300-2608","https://holidayseniorliving.com/retirement-communities/holiday-bear-canyon-estates-albuquerque-nm/?y_source=1_MjA2NDY2OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"Golden Years, LLC","35.120368","-106.510955",,
"NestBeyond of Central Albuquerque","35.0824099","-106.6764794","(505) 560-9422",
"Enchanted Living of New Mexico","35.1439519","-106.5000915","(505) 867-6164","http://www.enchantedlivingnm.com/"
"Home Care Assistance of Albuquerque","35.1417163","-106.5168384","(505) 798-0800","https://www.homecareassistanceofalbuquerque.com/"
"New Mexico Health Care Association","35.1298443","-106.59134","(505) 880-1088","http://www.nmhca.org/"
"Nmrea AFC 1 LLC","35.1057544","-106.5683288","(505) 880-7040",
"Elite Senior Care LLC","35.1058124","-106.4951685","(505) 298-1341",
"Care Givers of Alb","35.1188961","-106.5636353","(505) 881-3764",
"Assisted Living Services Org","35.1161392","-106.517748","(505) 296-7559",
"Senior Care LLC","35.1025014","-106.5019995","(505) 361-1338",
"La Cueva Senior Living","35.0808134","-106.4903455","(505) 796-2285","http://lacuevaseniorliving.com/"
"Wilson Family Care","35.0969","-106.508117","(505) 343-0743",
"Las Colinas","35.0754158","-106.5129437","(505) 349-4926",
"Senior Care Arvilla","35.1171625","-106.539069","(505) 294-6858",
"Hofmantown Alzheimer's Care","35.1143783","-106.5504012","(505) 271-5000",
"Casa De Palomas-Assisted Living","35.1228419","-106.5203001","(505) 255-9081",
"Emmaus Community/Emmaus House","35.089983","-106.5684893","(505) 234-1224",
"Muros De Salvacion","35.1283931","-106.5239252",,
"Casa de Palomas","35.1420715","-106.5565431","(505) 255-9081",
"Buena Vista Senior Care","35.180678","-106.5730152","(505) 797-4875","http://buenavistaseniorcare.com/"
"Starlight House","35.1435198","-106.5418074","(505) 270-0941","http://starlighthouseongalaxia.com/"
"Sandia Vista Senior Living","35.0736921","-106.5135103","(505) 291-0600","https://www.stellarliving.com/communities/sandia-vista-senior-living/"
"Camino Retirement Apartments","35.086999","-106.512917","(505) 298-9976","http://www.caminoretirement.com/"
"Georgia House Group Home For People With Mental Disabilities","35.0606747","-106.5723238","(505) 268-3751",
"Case San Pablo Services Transfer","35.0647727","-106.5922739","(505) 508-1392",
"Patriot Assisted Care","35.1803012","-106.576504",,
"Marler Manor","35.1265641","-106.544812","(505) 837-2273","https://marlermanor.co/"
"Paloma Landing Gracious Retirement Living","35.1732556","-106.5538622","(505) 243-1979","https://seniorlivinginstyle.com/paloma-landing/"
"A New Day","35.0681525","-106.5216504",,
"FootPrints Home Care","35.1401741","-106.5524105","(505) 828-3918","http://www.footprintshomecare.com/"
"Assisted Living Services","35.1706908","-106.5203386","(505) 362-8977",
"Albuquerque ER & Hospital","35.1831834","-106.6649613","(505) 431-1900","https://abqhospital.com/?utm_source=google&utm_medium=search&utm_campaign=business"
"Longterm Care Ombudsman","35.0883843","-106.6591118","(866) 451-2901","https://nmaging.state.nm.us/protecting-adults/ombudsman/long-term-care-ombudsman"
"Alma Home Healthcare Services","35.0525725","-106.7259814","(505) 261-2868",
"Shadow Mountain Recovery Intensive Outpatient Center","35.1075876","-106.5651531","(505) 207-9929","https://www.shadowmountainrecovery.com/albuquerque/?utm_campaign=gmb"
"Kindred Hospital Albuquerque","35.0886778","-106.6376696","(505) 242-4444","https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-albuquerque"
"Senior.One","35.0836561","-106.6546904","(888) 888-2191","http://www.senior.one/"
"InnovAge New Mexico PACE - Albuquerque","35.0885702","-106.6343885","(505) 916-1932","https://www.innovage.com/locations/nm-albuquerque?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=abqnm"
"Always Best Care Albuquerque","35.2015796","-106.6464188","(505) 898-6262","https://www.alwaysbestcare.com/nm/albuquerque/"
"Lovelace UNM Rehabilitation Hospital","35.0877893","-106.6382356","(505) 727-4725","https://lovelace.com/location/lovelace-rehabilitation-hospital"
"Turquoise Lodge Hospital","35.057986","-106.5813804","(505) 841-8978","http://nmhealth.org/about/ofm/ltcf/tlh/"
"AMG Specialty Hospital - Albuquerque","35.057986","-106.5813804","(505) 842-5550","https://amgihm.com/albuquerque"
"At Home Healthcare","35.1457681","-106.5580636","(505) 880-0400","https://lhcgroup.com/locations/at-home-healthcare-albuquerque/"
"Hospice De La Luz","35.1578129","-106.6021995","(505) 217-2490","http://hospicedelaluz.com/"
"Robert Wertheim Hospice House","35.1565135","-106.5834377",,"https://www.phs.org/about-us/news/Pages/hospice-house-now-open-to-serve-patients-and-families.aspx"
"Odyssey Health Care","35.1437335","-106.5515222","(505) 884-8857",
"Dr Nancy Guinn, MD | Internal Medicine | Presbyterian Primary Care","35.0932565","-106.5531804","(505) 559-6058","https://www.phs.org/doctors-services/services-centers/primary-care/internal-medicine/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=prov_pcpintmed_guinn_1740299379"
"Compassus Home Health","35.169632","-106.5881946","(505) 391-5815","https://compassus.com/home-health-albuquerque/?utm_source=google?utm_medium=gbp"
"Inteli-Care LLC","35.1094849","-106.7296078","(505) 898-9745","http://www.inteli-care.com/"
"Alliance Home Healthcare & Hospice Llc.","35.1512414","-106.593453",,
"Q Hospice","35.1463988","-106.5571378","(505) 636-0888","https://qhospice.com/"
"Ardent Home Health of New Mexico","35.1244418","-106.5506589","(505) 717-1324","http://www.ardenthhnm.com/"
"Zia Home Care","35.1359134","-106.590309",,
"Visiting Angels","35.1171445","-106.6071937","(505) 821-7500","https://www.visitingangels.com/albuquerque/home/?utm_source=gmb&utm_medium=organic&utm_campaign=local"
"Presbyterian Kaseman Hospital","35.0930393","-106.5532351","(505) 291-2000","https://kaseman-hospital.phs.org/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_hospital__l001"
"Aid Home Health Care Services LLC","35.1120067","-106.577793","(505) 883-0900",
"Klarus Home Care","35.1466683","-106.5666698","(505) 717-1624","http://www.klarushomecare.com/"
"St. Anthony's Home Health Care","35.1081799","-106.5479938","(505) 888-9618",
"Home Instead","35.1512947","-106.6177139","(505) 884-0353","https://www.homeinstead.com/location/144?utm_source=google&utm_medium=organic&utm_campaign=gmb"
"Night N Gail Home Care Services","35.1083608","-106.5588613","(505) 974-1988",
"Amada Senior Care","35.116827","-106.569254","(505) 521-2100",
"Visiting Angels","35.0981226","-106.5822759","(505) 821-7500","http://www.visitingangels.com/albuquerque/home/?utm_source=gmb&utm_medium=organic&utm_campaign=local"
"Enhabit Home Health","35.1856583","-106.5925917","(505) 563-4005","https://www.ehab.com/?utm_source=gmb&utm_medium=yext"
"Crosby Hall LLC","35.1067554","-106.5989621","(505) 507-8782","http://www.crosbyhallinc.com/"
"Presbyterian: Dr Gurpreet Aujla, MD","35.0927853","-106.5555665","(505) 559-1122","https://www.phs.org/doctors-services/services-centers/healthcare-at-home/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=prov_hah_aujla_1609309681"
"For Your Care In-Home Care","35.1086601","-106.5412133","(505) 798-0978","https://foryourcare.com/"
"Interim HealthCare of Albuquerque NM","35.0948829","-106.5873606","(505) 910-4725","https://www.interimhealthcare.com/AlbuquerqueNM?utm_source=GMB&amp;utm_medium=Local&amp;utm_content=DirectoryLink&amp;utm_campaign=AlbuquerqueNM"
"St Joseph Home Health","35.0848894","-106.6468148","(505) 727-4663",
"New Mexico Association For Home and Hospice Care","35.0880954","-106.6528481","(505) 565-5777","http://www.nmahc.org/"
"Retreat At Home","35.1577117","-106.6021831","(505) 938-4652","http://retreathomecare.com/"
"Hospice San Dias Albuquerque","35.1590867","-106.5760855","(505) 881-1403",
"Armada Home Health Care","35.1826508","-106.5832252","(505) 821-1200","http://armadanm.com/"
"Mariposa Program","35.0534937","-106.6213406","(505) 272-6700",
"State Serve Medical","35.1531539","-106.6024965","(877) 633-7250","http://www.stateserv.com/"
"BAYADA Assistive Care","35.1030904","-106.5787967","(505) 883-4800",
"Ambercare","35.1538391","-106.6058858","(505) 792-8230","https://ambercare.com/?y_source=1_MTI1NTkwNjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
"Nevaeh Hospice","35.1762016","-106.5684432","(505) 293-5858","http://nevaehhospice.com/"
"Zia Hospice","35.135915","-106.5901514","(505) 830-2978",
"Advanced Home Health and Hospice","35.1485306","-106.6398376","(505) 967-4274","https://www.ahcfacilities.com/rehabilitation-facilities/albuquerque/"
"Hospice of the Sandias LLC","35.1330218","-106.5899388","(505) 881-5342",
"Harmony Home Health & Hospice","35.1523238","-106.5850177","(505) 828-2273","https://www.harmonyhomehealth.com/?utm_source=GMBlisting&utm_medium=organic"
"Luna Del Valle Hospice","35.131938","-106.5969798","(505) 365-0321","https://ldvhospice.com/"
"Armada Hospice","35.1826508","-106.5832252","(505) 821-1200","https://www.armadahospice.com/"
"Gentiva Hospice","35.1653061","-106.5920852","(505) 821-5404","https://www.gentivahs.com/"
"ProMedica Hospice Serving Albuquerque and Surrounding Areas","35.1027128","-106.600295","(505) 323-1464","https://www.promedicahospice.org/Albuquerque"
"Corus Health - Home Health, Hospice, Palliative Care & Personal Care","35.1847499","-106.6063946","(505) 828-0232","http://www.corushealth.com/"
"High Desert Hospice","35.1826538","-106.5780584","(505) 585-2603","https://highdeserthospice.care/"
"Hospice of New Mexico","35.1150281","-106.5686652","(505) 872-2300","http://www.hospiceofnewmexico.com/"
"Compassus","35.169632","-106.5881946","(505) 391-5643","https://www.compassus.com/locations/new-mexico/albuquerque/?utm_source=google?utm_medium=gbp"
"hope for Gardner home care and hospice","35.1563685","-106.6084412","(505) 414-8570",
"Luna Vista Home Health and Hospice","35.1091412","-106.7290956","(505) 560-1128","http://lunavistahhc.com/"
"Alliance Home Health Care","35.1540124","-106.6060686","(505) 884-4080","https://www.alliancehhcare.com/"
"Encompass Health Rehabilitation Hospital of Albuquerque","35.1600679","-106.5923607","(505) 344-9478","https://encompasshealth.com/albuquerquerehab"
"CenterWell Home Health","35.1669198","-106.5943153","(505) 345-3754","https://www.centerwellhomehealth.com/"
"Children's Home Healthcare Albuquerque","35.1298443","-106.59134","(505) 881-0054","http://www.childrenshha.com/"
"Armada Healthcare","35.1624847","-106.5928121","(505) 821-1200",
"Thrive Skilled Pediatric Care - Albuquerque, NM","35.1340257","-106.5924375","(505) 883-4100","https://www.thrivespc.com/locations/albuquerque-nm/"
"Wellness Health Services","35.1295293","-106.6037487","(505) 373-2636","https://www.wellnesshealthservices.org/"
"Fiesta Park Healthcare Llc","35.1884168","-106.6015695",,
"Adelante Compadres Senior Center","35.145323","-106.5855119","(505) 883-0215","https://www.goadelante.org/Senior_Services.html"
"Industrial Rehabilitation","35.1590867","-106.5760855","(505) 797-0242",
"United One Home Care Albuquerque NM","35.1154479","-106.6045943","(505) 295-2044","https://unitedonehomecare.com/"
"HomeVault Property Management","35.077738","-106.5974033","(505) 265-1241","https://homevault.com/"
"2 Brothers Landscaping","35.0979296","-106.7385067","(505) 261-2681","https://2brotherslandscapingnm.com/"
"HomeTeam Pest Defense","35.1128054","-106.6275186","(505) 265-1113","https://pestdefense.com/albuquerque/?utm_source=google&utm_medium=googlelisting&utm_campaign=location"
"EverGuard Roofing","35.1213039","-106.6470422","(505) 821-9543","https://everguardroofing.com/"
"DNA Roofing & Construction","35.0587251","-106.7319633","(505) 610-3989","https://dna-roofing-and-construction.business.site/?utm_source=gmb&utm_medium=referral"
"A Honorable Roofing Co, Llc","35.2176146","-106.6938617","(505) 864-6790","http://ahonorableroofing.com/"
"Mold Solutions of Albuquerque","35.084828","-106.651346","(505) 657-3719","http://www.moldremovalalbuquerque.co/"
"WaterQuest, Inc.","35.1324258","-106.638809","(505) 792-3600","http://www.waterquest.com/"
"Albuquerque Over the Top Garage Doors & Repair Service","35.1950752","-106.7348668","(505) 450-9456","https://albuquerqueoverheadgaragedoors.com/"
"ABQ Star Roofing","35.1288155","-106.6428403","(505) 712-1773","http://www.abqstarroofing.com/"
"Rio Grande Homes powered by eXp Realty","35.1242737","-106.715596","(505) 688-0700","https://riograndehomes.net/"
"SERVPRO of Northwest Albuquerque","35.1564064","-106.6023948","(505) 503-8627","https://www.servpronorthwestalbuquerque.com/?utm_medium=yext&utm_source=gmb&y_source=1_MTYxOTU1MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
"Steamatic of Albuquerque and Santa Fe","35.1801009","-106.6095341","(505) 883-7766","https://www.steamaticnm.com/"
"Number One Plumbing, A/C, Solar & Electric","35.1163551","-106.6326795","(505) 999-9567","http://number1plumber.com/"
"Dreamstyle Remodeling","35.1370042","-106.611125",,"https://www.dreamstyleremodeling.com/"
"Signature Heating, Cooling & Plumbing","35.1194222","-106.6233539","(505) 898-4822","http://www.airemechanical.com/"
"Hollywood Roofing","35.1932939","-106.6948731","(505) 821-9391","http://hollywoodroofingnm.com/"
"Paramount Roofing","35.115528","-106.644264","(505) 615-0646","http://paramountroofingnm.com/"
"Green Mountain Contractors, Inc.","35.0795298","-106.6111226","(505) 205-9328","http://greenmountaincontractors.com/"
"Custom Construction Solutions LLC","35.1302443","-106.6158219","(505) 302-2832","https://customnm.com/"
"La Barge Landscaping","35.1126145","-106.619831","(505) 345-3000","https://www.labargelandscape.net/"
"LOE Property Management, LLC","35.1523325","-106.712922","(505) 433-3752","http://www.loepropertymanagement.com/"
"4Front Roofing","35.1206306","-106.6099426","(505) 295-0367","https://4frontroofing.com/"
"Gonzales and Sons Roofing, Inc.","35.0789303","-106.6965847","(505) 818-0151","https://gonzalesandsonsroofinginc.com/"
"HOAMCO - Home Owners Association Mangement Company","35.1838853","-106.6796217","(505) 888-4479","http://www.hoamco.com/"
"Deacon Property Services","35.1299863","-106.6025366","(505) 878-0100","http://deaconpropertyservices.com/"
"Elevated Management Group","35.0963168","-106.6716399","(505) 257-6090","https://www.elevatedrentalsnm.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=gmb"
"Rent Builder Property Management","35.1458984","-106.566826","(505) 892-4400","http://rentbuilderpropertymanagement.com/"
"Arca","35.0994687","-106.649138",,"https://www.arcaopeningdoors.org/nmbircevent/paint-class/"
"Maddox Management LLC","35.0833999","-106.6414929","(505) 242-0989","http://www.maddoxmgmt.com/"
"ABQ Property Management","35.1154479","-106.6045943","(505) 226-0928","https://propertymanageralbuquerquenm.com/"
"Westway Homes","35.1898863","-106.4971417","(505) 212-7000","https://thewestway.com/"
