title,phone,website,categoryName
RESEP CLinic,,,Medical Center
Presbyterian Hospital: Thomas Tammy M DO,(505) 841-1234,,Doctor
Lovelace Health System,(505) 727-4500,http://lovelace.com/,Obstetrician-gynecologist
Fresenius Medical Care at Lovelace Medical Center,(505) 727-8000,http://www.ultracare-dialysis.com/,Medical clinic
Presbyterian Medical Group,(505) 823-8888,https://www.phs.org/doctors-services/services-centers/urgent-care/urgent-care/Pages/harper.aspx,Medical Center
UNMH Respiratory Care Center,(505) 272-2111,https://hsc.unm.edu/news/news/new-center-provides-covid-19-testing.html,Medical clinic
Saint Josephs Hospital Complex,,,
Presbyterian Pediatric Surgery in Albuquerque at Presbyterian Hospital,(505) 563-6530,https://www.phs.org/doctors-services/services-centers/childrens-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_pedspecsurg__137,Surgical center
Presbyterian Transplant Services in Albuquerque at Presbyterian Hospital,(505) 841-1431,https://www.phs.org/doctors-services/services-centers/transplant-services/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_phpob_transplant__224,Surgical center
Presbyterian Anticoagulation Services in Albuquerque at Presbyterian Kaseman Hospital,(505) 291-2402,https://www.phs.org/doctors-services/services-centers/supporting-services/Pages/anticoagulation-services.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkpob_anticoag,Specialized clinic
University Hospital,,,
Rehabilitation Hospital of NM,(505) 727-4725,http://www.lovelace.com/,Doctor
Presbyterian Anticoagulation Services in Albuquerque at Presbyterian Hospital,(505) 563-2500,https://www.phs.org/doctors-services/services-centers/primary-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_phpob_anticoag,Specialized clinic
OSIS,(505) 925-7680,https://unmhealth.org/services/osis.html,Hospital
BPO Hospital,(866) 538-6489,https://www.hospitalbpo.com/contact,Hospital
Health Sciences Center,(505) 925-2378,https://hsc.unm.edu/,Medical clinic
Albuquerque Phs Indian Hospital: Gloyd Jr Park W MD,(505) 248-4000,https://www.ihs.gov/albuquerque/healthcarefacilities/albuquerque/,Doctor
"Abdul W. Mamdani, PA",(505) 925-4126,,Physician assistant
DaVita Medical center,,,Hospital
Murphy VA Hospital,(505) 265-1711,,Hospital
Women Hosiptal,,,Hospital
BPO Hospital,(866) 538-6489,https://www.hospitalbpo.com/contact,Hospital
Kaseman Emergency Medicine,(505) 291-2000,https://www.phs.org/covid19/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=covidlisting&utm_content=_loc_abq_pkh_er_CLAIMED__035,Hospital
Lovelace Westside Hospital - Radiology Department,(505) 727-8966,https://lovelace.com/services/radiology,Medical Center
"Shalada C. Creecy Gutierrez, LCSW",(505) 208-6227,https://www.oakstreethealth.com/doctors/shalada-creecy-gutierrez?utm_source=listings&utm_vpf=rep,Social worker
Southwest Mesa Clinic,(505) 925-4126,,Medical clinic
Oak Street Health Atrisco Primary Care Clinic,(505) 208-6227,https://www.oakstreethealth.com/locations/albuquerque-nm/atrisco-doctors-office?utm_source=listings&utm_vpf=rep,Medical clinic
PRESNow,(505) 596-2110,https://www.presnow247.org/locations/,General hospital
Lovelace Health System,(505) 727-8000,http://www.lovelace.com/,Hospital
UNM Hospitals' Southeast Heights Clinic,(505) 272-5885,http://hospitals.unm.edu/,Medical clinic
Lovelace Labor of Love,(505) 727-7677,http://lovelace.com/laboroflove,Pregnancy care center
"Scott Bernhardt, LCSW",(505) 208-6984,https://www.oakstreethealth.com/doctors/scott-bernhardt?utm_source=listings&utm_vpf=rep,Social worker
"Elizabeth Moran, FNP",(505) 295-7030,https://www.oakstreethealth.com/doctors/elizabeth-a-moran-fnp?utm_source=listings&utm_vpf=rep,Nurse practitioner
UNM Hospital Family Health Clinic,(505) 272-2700,http://hospitals.unm.edu/family-health/locations/northeast-heights.html,Medical clinic
"Dr. Michael Chartrand, MD",(505) 295-7030,https://www.oakstreethealth.com/doctors/michael-chartrand?utm_source=listings&utm_vpf=rep,Doctor
Albuquerque Health Care for the Homeless,(505) 766-5197,https://www.abqhch.org/,Homeless service
medical arts plaza,,,Medical clinic
Senior Health Clinic,(505) 272-1754,https://unmhealth.org/services/senior-health.html,Geriatrician
First Nations Community HealthSource (Zuni Clinic),(505) 262-2481,http://www.fnch.org/,Medical Center
Anodyne of Albuquerque,(505) 503-6490,https://anodynepain.com/locations/albuquerque-nm/,Acupuncture clinic
Bosque Women's Care,(505) 847-4100,http://www.bosquewomenscare.com/,Women's health clinic
MinuteClinic at CVS,(866) 389-2727,https://www.cvs.com/minuteclinic/clinic-locator/nm/albuquerque/8915.html?WT.mc_id=LS_mc_google_carenav_8915,Walk-in clinic
Esperanza Medical and Wellness,(505) 677-8192,,Medical Center
Ribera Healthcare Satelite Office,,,Community health centre
Cromeans Jacqueline,(505) 938-5858,,Medical clinic
Envision New Mexico,(505) 925-7600,https://hsc.unm.edu/medicine/departments/pediatrics/divisions/adolescent-medicine/envision/,Child health care centre
UNM School Based Health Center,(505) 256-2555,https://unmhealth.org/services/school-based-health-clinics/,Medical clinic
Royal Medical Health Inc,(505) 916-2457,https://royalmedicalhealth.com/,Medical clinic
Bouari Clinic,(505) 821-8446,,Medical clinic
Family Practice Clinic: Elliott Erica MD,(505) 272-1734,http://unmmg.org/,Doctor
New Mexico Urgent Care Eubank,(505) 433-2186,https://newmexicourgentcare.com/,Urgent care center
Passport Health Albuquerque,(505) 881-8785,https://www.passporthealthusa.com/locations/nm/albuquerque/163/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB%20Franchisee%20Insights,Travel clinic
Morgan Virtual Psychiatry,(888) 360-7587,https://morganvirtualpsychiatry.com/,Mental health service
Renew Vitality Testosterone Clinic of Alburqueque,(505) 658-6855,https://www.vitalityhrt.com/location/testosterone-clinic-of-albuquerque-nm/,Medical clinic
Men's Healing Clinic,,https://albuquerque.edtreatmentpro.com/,Medical clinic
Kia Boyd,(678) 249-9549,,Psychologist
Ziks Health Services,(972) 972-4850,https://www.zikshealthservices.com/,Mental health clinic
Fresenius Medical Care at Presbyterian Healthcare Services,(505) 727-8000,http://www.ultracare-dialysis.com/,Medical clinic
Manzano Medical Group,(505) 727-4919,http://www.manzanomedicalgroup.com/?utm_source=GMBSocialClimb&utm_medium=ManzanoMedicalGroup,Occupational health service
Well Life ABQ,(505) 585-2345,https://welllifeabq.com/?utm_source=search&utm_medium=GMB&utm_campaign=Organic,Medical clinic
Travel Health,(505) 217-0628,http://www.nmtravelhealth.com/,Medical clinic
Bouari Clinic,(505) 369-1896,,Medical clinic
Heights Medical Consultants,(505) 883-7525,,Medical clinic
"HCP Systems, Urgent and Primary Care",,https://weence.com/medical/doctors/albuquerque-new-mexico/hcp-systems-urgent-and-primary-care/,Urgent care center
Concentra Urgent Care,(505) 823-9166,http://www.concentra.com/?utm_source=Yext&utm_medium=Organic&utm_campaign=Homepage%20Link,Occupational health service
New Mexico Pain Center,(505) 264-9961,https://www.albuquerquepaincenter.com/,Pain management physician
Pediatric Medicane Inc,(505) 243-3509,,Medical clinic
P-Shot Clinic,,https://albuquerque.p-shot.online/,Medical clinic
UNM Medical Arts Clinic,(505) 272-2231,https://hsc.unm.edu/health/patient-care/orthopaedics/locations.html,Medical clinic
Elemental Health Primary Care,(505) 717-1076,http://www.elementalhealthprimarycare.com/,Medical clinic
Olmstead Health Care Services LLC,(505) 217-0628,http://www.nmtravelhealth.com/,Travel clinic
Caitilin Chestnut,(505) 345-3244,,Medical clinic
"UNM Medical Group, Inc.",(505) 272-1734,http://unmmg.org/,Medical clinic
Presbyterian Urgent Care in Albuquerque on Las Estancias Dr,(505) 462-7777,https://www.phs.org/doctors-services/services-centers/urgent-care/urgent-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_lasestancias_uc__182,Urgent care center
Bernalillo County Wellesley Health Center,,,Community health centre
Duke City Primary Care,(505) 814-1333,http://www.dukecityprimarycare.com/,Medical clinic
Concentra Urgent Care,(505) 345-9599,http://www.concentra.com/?utm_source=Yext&utm_medium=Organic&utm_campaign=Homepage%20Link,Occupational health service
ESWT Men's Health Clinic,,https://albuquerque.eswt-ed.com/,Medical clinic
"Presbyterian Urgent Care in Albuquerque on Paradise Blvd - Closed permanently as of June 30, 2021",(505) 998-1717,https://www.phs.org/locations/Pages/urgent-care.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_paradise_uc__181,Urgent care center
MinuteClinic at CVS,(866) 389-2727,https://www.cvs.com/minuteclinic/clinic-locator/nm/albuquerque/8918.html?WT.mc_id=LS_mc_google_carenav_8918,Walk-in clinic
higi,(866) 818-8793,https://higi.com/locator,Medical clinic
Cimarron Clinic,(505) 272-0371,https://unmhealth.org/locations/childrens-psychiatric-center.html,Medical clinic
Complete Health Clinic- Dr. Sarah Taylor PhD.,(505) 421-6282,http://completehealthclinic.org/,Psychiatrist
Medicus - Walk in Clinic and Family Practice in Albuquerque,(505) 234-1040,,Walk-in clinic
Oak Street Health Zuni Road Primary Care Clinic,(505) 208-6984,https://www.oakstreethealth.com/locations/albuquerque-nm/zuni-road-doctors-office?utm_source=listings&utm_vpf=rep,Medical clinic
Concentra Urgent Care,(505) 842-5151,http://www.concentra.com/?utm_source=Yext&utm_medium=Organic&utm_campaign=Homepage%20Link,Occupational health service
Reform ABQ,(505) 420-6979,http://www.reformabq.com/,Medical clinic
"Family Medicine, PC",(505) 292-8575,https://www.familymedicineabq.com/,Medical clinic
South Broadway Clinic,(505) 272-2156,,Medical clinic
First Choice Community Healthcare - South Broadway Medical Center,(505) 768-5450,https://www.fcch.com/index.php?page=south-broadway-center,Mental health service
Optum Primary Care,(505) 262-7110,https://abqhp.com/Clinic/5,Medical clinic
Maternity & Infant Care Clinics,(505) 272-2158,,Medical clinic
UNM Truman Health Services,(505) 272-1312,https://unmhealth.org/services/hiv-aids/,Medical clinic
Victoria Medical Center PC,(505) 265-4000,,Medical Center
LoboCare,(505) 272-3935,http://www.unm.edu/,Medical clinic
General Medical Clinc/med Fctly Cln,(505) 272-3850,,Medical clinic
Holland Clinic Albuquerque Medical Weight Loss,(505) 232-6818,http://www.hollandclinic.com/,Medical clinic
Baca Community Health,(505) 554-1659,http://bacacommunityhealth.com/,Medical Center
Rio Grande Urgent Care,(505) 433-4493,,Urgent care center
Trimix Shot Clinic,,https://albuquerque.trimixinject.com/,Medical clinic
"Scott Bernhardt, LCSW",(505) 208-6227,https://www.oakstreethealth.com/doctors/scott-bernhardt?utm_source=listings&utm_vpf=rep,Social worker
Lovelace Medical Group,(505) 727-4200,http://www.lovelace.com/,Medical group
Lucia Darlach,(505) 272-1623,,Psychologist
Presbyterian Anticoagulation Services in Albuquerque on Atrisco,(505) 462-7575,https://www.phs.org/doctors-services/services-centers/primary-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_atrisco_anticoag,Specialized clinic
Mederi Life,(505) 433-4007,https://mederi.life/,Medical clinic
Presbyterian Family Medicine in Albuquerque on San Mateo Blvd,(505) 462-7333,https://www.phs.org/doctors-services/services-centers/primary-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_sanmateo_pcpfammed__055,Family practice physician
Stevens Medical Center Inc,(505) 299-6331,https://www.stevensmedicalcenter.com/,Medical clinic
LDHP Medical Review Services Inc,(505) 890-8105,,Medical group
Albuquerque Health Care for the Homeless Resource Center,,https://www.abqhch.org/,Mental health clinic
New Mexico Health Care Clinicians,(505) 345-3800,,Medical clinic
NextCare Urgent Care,(505) 348-2868,https://nextcare.com/locations/nm/menaul/?utm_source=GoogleMaps&utm_medium=Local&utm_campaign=menaul,Urgent care center
Healthy Radiance,(505) 897-5779,,Skin care clinic
UNM Family Health Clinic,,https://unmhealth.org/services/primary-care/locations.html,Medical clinic
Lovelace Health Care,(505) 727-0009,,Medical clinic
Albuquerque Urgent Care & Telemedicine By Doctors Urgent Care Group,(505) 200-2860,https://urgentcarealbuquerquenm.com/,Urgent care center
S-Health Clinic,,https://albuquerque.s-healthclinic.com/,Medical clinic
Medicine @ Downtown,(505) 246-1670,https://medicinedowntown.com/,Medical clinic
Family & Community Medicine,(505) 272-1734,https://hsc.unm.edu/medicine/departments/family-community/,Medical clinic
Health Clinic of New Mexico,(505) 881-4012,,Medical clinic
UNM Family Health,(505) 272-4400,http://fcm.unm.edu/,Medical clinic
Southwest Care Jefferson Clinic,(505) 955-9454,https://southwestcare.org/,Medical clinic
Midtown Family Medicine,(505) 255-1228,https://www.mfmfamily.com/,Medical clinic
UNM Family Practice Clinic,(505) 272-1734,http://unmmg.org/,Medical clinic
Assessment & Treatment Services,(505) 974-0116,,Medical clinic
"Dr. Joanna J. Hooper, MD",(505) 925-4126,,Family practice physician
Bowers Wellness,(505) 355-1405,,Mental health service
First Choice Community Health,(505) 831-2534,https://www.fcch.com/index.php?page=locations,Community health centre
NextCare Urgent Care,(505) 205-1271,https://nextcare.com/locations/nm/unser/?utm_source=GoogleMaps&utm_medium=Local&utm_campaign=unser,Urgent care center
Albuquerque Family Health,,,Urgent care center
ABQ Injury Clinic,(505) 503-6061,,Medical clinic
Employee Health Center,(505) 768-4630,https://eweb.cabq.gov/,Medical clinic
